Driver,Team,LapNumber,micro_sector,Speed,Throttle,Brake,rpm,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
SAI,Ferrari,46,4,268.5,99.0,0.0,10773.0,22.0,26.5,90.712,0.48
TSU,AlphaTauri,46,15,264.0,89.33333333333333,0.0,10553.0,23.0,26.5,89.41000000000001,0.88
RIC,AlphaTauri,45,87,154.25,80.25,0.0,9724.25,13.0,26.5,88.705,1.12
ALB,Williams,45,69,165.75,9.0,25.0,10199.75,1.0,26.5,87.845,1.12
LEC,Ferrari,46,29,167.25,99.0,0.0,11376.5,10.0,26.5,88.446,1.12
VER,Red Bull Racing,46,38,294.0,100.0,0.0,11603.5,2.0,26.5,87.902,0.64
NOR,McLaren,46,22,289.0,99.0,0.0,11542.5,12.0,26.5,88.187,0.64
ALO,Aston Martin,46,4,269.3333333333333,100.0,0.0,11208.666666666666,10.0,26.5,88.55400000000002,0.8400000000000001
HAM,Mercedes,46,2,262.5,100.0,0.0,11001.5,10.0,26.5,89.729,0.64
SAR,Williams,45,56,258.3333333333333,100.0,0.0,10740.0,3.0,26.5,88.791,0.8800000000000001
PER,Red Bull Racing,46,21,289.0,100.0,0.0,11454.0,3.0,26.5,87.914,0.6000000000000001
HUL,Haas F1 Team,45,74,226.33333333333334,99.66666666666667,0.0,11524.333333333334,11.0,26.5,89.5,0.8800000000000001
BOT,Alfa Romeo,45,65,298.5,100.0,0.0,11957.0,15.0,26.5,90.495,0.6000000000000001
MAG,Haas F1 Team,45,60,288.0,99.0,0.0,11550.333333333334,22.0,26.5,90.11,0.8800000000000001
RUS,Mercedes,46,27,99.33333333333333,20.0,0.0,7381.833333333333,11.0,26.5,88.192,1.6800000000000002
PIA,McLaren,46,14,269.0,99.66666666666667,0.0,10821.333333333334,9.0,26.5,88.806,0.8800000000000001
SAI,Ferrari,46,5,258.0,0.0,33.333333333333336,10279.666666666666,22.0,26.5,90.712,0.8800000000000001
NOR,McLaren,46,23,290.0,99.0,0.0,11550.0,12.0,26.5,88.187,0.48000000000000004
TSU,AlphaTauri,46,16,265.5,90.0,0.0,10674.5,23.0,26.5,89.41,0.48000000000000004
STR,Aston Martin,45,91,242.66666666666666,99.33333333333333,0.0,11463.0,2.0,26.5,88.177,0.8
VER,Red Bull Racing,46,39,296.5,100.0,0.0,11197.5,2.0,26.5,87.902,0.48000000000000004
HAM,Mercedes,46,3,271.5,100.0,0.0,11319.0,10.0,26.5,89.729,0.48000000000000004
